URL, Size, Number of Outlinks, Conytent-Type
https://www.nytimes.com/2017/07/27/dining/wine-school-assignment-godello-spain.html, 86827, 105, text/html
https://www.nytimes.com/2017/07/28/watching/what-to-watch-weekend-movies.html, 100683, 32, text/html
https://www.nytimes.com/section/arts, 136467, 152, text/html
https://www.nytimes.com/2017/07/28/realestate/smaller-housing-markets-lure-individual-investors.html, 113243, 114, text/html
https://www.nytimes.com/2017/07/28/nyregion/to-curb-violence-start-time-of-caribbean-festival-is-changed.html, 92221, 108, text/html
https://www.nytimes.com/watching/titles/on-any-sunday, 81904, 22, text/html
https://www.nytimes.com/2017/06/29/business/station-f-tech-incubator-france.html, 624272, 129, text/html
https://www.nytimes.com/video/us/politics/100000005315926/health-bill-vote-gop-democrat-leaders.html?playlistId=100000005005669, 201979, 79, text/html
https://www.nytimes.com/2017/07/27/opinion/australia-immigration-as-a-security-threat.html, 88751, 111, text/html
https://www.nytimes.com/2017/06/20/business/macron-france-labor-union-laurent-berger.html, 98637, 109, text/html
https://www.nytimes.com/roomfordebate, 49425, 169, text/html
https://www.nytimes.com/section/world, 221034, 213, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/gays-lesbians-women-elections.html, 91577, 115, text/html
https://www.nytimes.com/watching/recommendations/the-duke-of-burgundy, 91063, 31, text/html
https://www.nytimes.com/2017/07/29/world/asia/us-south-korea-north-korea-missile-test.html, 110951, 123, text/html
https://www.nytimes.com/2016/04/30/business/international/eurozone-economy-q1.html, 110374, 114, text/html
https://www.nytimes.com/2017/07/29/world/asia/us-south-korea-north-korea-missile-test.html?hp&target=comments, 110951, 124, text/html
https://www.nytimes.com/video/science/100000005307409/life-on-mars-virtual-reality-isolation.html?playlistId=100000004687548, 358885, 83, text/html
https://www.nytimes.com/2017/06/11/business/economy/britain-economy-election-brexit.html, 110593, 120, text/html
https://www.nytimes.com/2017/07/28/business/john-g-morris-renowned-photo-editor-dies-at-100.html, 254385, 102, text/html
https://www.nytimes.com/watching/lists/9-best-sports-documentaries-netflix-streaming, 122219, 39, text/html
https://www.nytimes.com/2017/07/17/watching/doctor-who-jodie-whittaker-what-to-watch.html, 98545, 35, text/html
